Item Number,Description,Type,UPC#,UM,ORG,Brand,SubBrand,Product,InventoryType,PackType,Language,Finance Category,Commodity,Business Unit,MakeBuy,NotUsed,Subjects,Material,Ink,Extended Description,Packout Instructions,Street Date,Royalty Code,Item Form,Eaches/Box,Eaches/Case,Item Template
FGC000118,MLB-TOPPS TRIBUTE BB 2013 HBY DISPLAY PACKS EN FGCASE,SE Finished Goods,,CSE,MAS,MAJOR LEAGUE BASEBALL,MLB-TRIBUTE,MLB-TOPPS TRIBUTE BB 2013,FINISHED GOODS,DISPLAY PACKS,EN,MLB1305,SE FINISHED GOODS,SPORTS,Make,,,,,,,2/20/13,MAJOR LEAGUE BASEBALL,FG-CARDS,6,48,NSE FGCASE MAKE NOT LOT
FGC000119,MLB-TOPPS SERIES 1 BASEBALL 2013 HBY DISPLAY PACKS EN FGCASE,SE Finished Goods,8-87521-00001-2,CSE,MAS,MAJOR LEAGUE BASEBALL,MLB-SERIES 01,MLB-TOPPS SERIES 1 BASEBALL 2013,FINISHED GOODS,DISPLAY PACKS,EN,MLB1301,SE FINISHED GOODS,SPORTS,Make,,,,,,Each Polyfoil Finseal Pack (Style 1) contains 10 '13 Topps Baseball Cards. Includes Base Cards & Inserts. 36 Packs per Display Box. Display Boxes Shrinkwrapped with Topps Logo Shrinkwrap.  12 Display Boxes per Case.,41304,MAJOR LEAGUE BASEBALL,FG-CARDS,36,432,NSE FGCASE MAKE NOT LOT
FGC000120,MLB-TOPPS SERIES 1 BASEBALL 2013 HBY JUMBO PACK EN FGCASE,SE Finished Goods,8-87521-00002-9,CSE,MAS,MAJOR LEAGUE BASEBALL,MLB-SERIES 01,MLB-TOPPS SERIES 1 BASEBALL 2013,FINISHED GOODS,JUMBO PACK,EN,MLB1301,SE FINISHED GOODS,SPORTS,Make,,,,,,Each Polyfoil Finseal Pack (Style 1) contains 50 '13 Topps Baseball Cards. Includes Base Cards & Inserts.  10 Packs per Display Box. Display Boxes Shrinkwrapped with Topps Logo Shrinkwrap. 6 Display Boxes per Case.,41304,MAJOR LEAGUE BASEBALL,FG-CARDS,10,60,NSE FGCASE MAKE NOT LOT
FGC000121,NFL - TOPPS MAGIC FOOTBALL 2012 HBY STANDARD PACK EN FGCASE,SE Finished Goods,,CSE,MAS,FOOTBALL,NFL-GRIDIRON LEGENDS,NFL - TOPPS MAGIC FOOTBALL 2012,FINISHED GOODS,STANDARD PACK,EN,NFL1207,SE FINISHED GOODS,SPORTS,Make,,,,,,,41255,FOOTBALL,FG-CARDS,24,288,NSE FGCASE MAKE NOT LOT
